Latitudinal Weather Analysis
618 unique cities
Location: Grand Gaube, MU. City ID: 934479
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=agasegyhaza,hu

Location: Butaritari, KI. City ID: 2110227
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=butaritari,ki

Location: mataura, pf has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=mataura,pf

Location: Yellowknife, CA. City ID: 6185377
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=yellowknife,ca

Location: Harper, LR. City ID: 2276492
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=harper,lr

Location: Busselton, AU. City ID: 2075265
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=busselton,au

Location: Palmer, US. City ID: 5871146
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=palmer,us

Location: Klaksvik, FO. City ID: 2618795
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=klaksvik,fo

Location: Chuy, UY. City ID: 3443061
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=chuy,uy

Location: Rikitea, PF. City ID: 4030556
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=rikitea,pf

Location: Henties Bay, NA. City ID: 3356832
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=henties+bay,na

Location: Saint-Philippe, RE. City ID: 935215
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=saint-philippe,re

Location: Mahebourg, MU. City ID: 934322
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=mahebourg,mu

Location: Cape Town, ZA. City ID: 3369157
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=cape+town,za

Location: samusu, ws has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=samusu,ws

Location: Nikolskoye, RU. City ID: 546105
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=nikolskoye,ru

Location: Castro, CL. City ID: 3896218
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=castro,cl

Location: Thompson, CA. City ID: 6165406
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=thompson,ca

Location: Medicine Hat, CA. City ID: 6071618
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=medicine+hat,ca

Location: phumi samraong, kh has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=phumi+samraong,kh

Location: Dingle, IE. City ID: 2964782
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=dingle,ie

Location: Avarua, CK. City ID: 4035715
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=avarua,ck

Location: Port Alfred, ZA. City ID: 964432
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=port+alfred,za

Location: attawapiskat, ca has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=attawapiskat,ca

Location: Le Port, RE. City ID: 935616
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=le+port,re

Location: Tiksi, RU. City ID: 2015306
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=tiksi,ru

Location: Kencong, ID. City ID: 1632358
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=kencong,id

Location: Kaitangata, NZ. City ID: 2208248
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=kaitangata,nz

Location: Atuona, PF. City ID: 4020109
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=atuona,pf

Location: Hattiesburg, US. City ID: 4429295
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=hattiesburg,us

Location: Barrow, US. City ID: 4252975
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=barrow,us

Location: Cabo San Lucas, MX. City ID: 3985710
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=cabo+san+lucas,mx

Location: saleaula, ws has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=saleaula,ws

Location: Hithadhoo, MV. City ID: 1282256
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=hithadhoo,mv

Location: dolbeau, ca has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=dolbeau,ca

Location: belushya guba, ru has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=belushya+guba,ru

Location: San Vicente, PH. City ID: 1687428
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=san+vicente,ph

Location: Tananger, NO. City ID: 3134865
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=tananger,no

Location: Qasigiannguit, GL. City ID: 3420768
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=qasigiannguit,gl

Location: Waipawa, NZ. City ID: 2185329
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=waipawa,nz

Location: Alta Floresta, BR. City ID: 6316343
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=alta+floresta,br

Location: Tahta, EG. City ID: 347634
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=tahta,eg

Location: Upernavik, GL. City ID: 3418910
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=upernavik,gl

Location: Sao Filipe, CV. City ID: 3374210
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=sao+filipe,cv

Location: Ormara, PK. City ID: 1168700
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=ormara,pk

Location: Ushuaia, AR. City ID: 3833367
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=ushuaia,ar

Location: Hermanus, ZA. City ID: 3366880
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=hermanus,za

Location: Inhambane, MZ. City ID: 1045114
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=inhambane,mz

Location: Chifeng, CN. City ID: 2038067
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=chifeng,cn

Location: viligili, mv has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=viligili,mv

Location: Rio Claro, TT. City ID: 3573840
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=rio+claro,tt

Location: Khatanga, RU. City ID: 2022572
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=khatanga,ru

Location: Bredasdorp, ZA. City ID: 1015776
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=bredasdorp,za

Location: Altay, CN. City ID: 1529651
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=altay,cn

Location: Punta Arenas, CL. City ID: 3874787
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=punta+arenas,cl

Location: New Norfolk, AU. City ID: 2155415
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=new+norfolk,au

Location: Kushima, JP. City ID: 1895695
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=kushima,jp

Location: Chokurdakh, RU. City ID: 2126123
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=chokurdakh,ru

Location: Fairbanks, US. City ID: 5861897
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=fairbanks,us

Location: phan rang, vn has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=phan+rang,vn

Location: Hobart, AU. City ID: 2163355
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=hobart,au

Location: Romitan, UZ. City ID: 1217662
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=romitan,uz

Location: Maniitsoq, GL. City ID: 3421982
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=maniitsoq,gl

Location: Beringovskiy, RU. City ID: 2126710
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=beringovskiy,ru

Location: Souillac, MU. City ID: 933995
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=souillac,mu

Location: Bathsheba, BB. City ID: 3374083
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=bathsheba,bb

Location: Saint-Francois, GP. City ID: 3578441
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=saint-francois,gp

Location: Hobbs, US. City ID: 5471578
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=hobbs,us

Location: Olinda, BR. City ID: 3456160
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=olinda,br

Location: Moree, AU. City ID: 2156927
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=moree,au

Location: taolanaro, mg has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=taolanaro,mg

Location: Itarema, BR. City ID: 3393692
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=itarema,br

Location: Qaanaaq, GL. City ID: 3831208
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=qaanaaq,gl

Location: Vaitape, PF. City ID: 4033077
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=vaitape,pf

Location: Kurumkan, RU. City ID: 2021188
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=kurumkan,ru

Location: Nicoya, CR. City ID: 3622716
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=nicoya,cr

Location: Chinhoyi, ZW. City ID: 893697
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=chinhoyi,zw

Location: Ilulissat, GL. City ID: 3423146
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=ilulissat,gl

Location: Broken Hill, AU. City ID: 2173911
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=broken+hill,au

Location: Luba, GQ. City ID: 2309528
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=luba,gq

Location: Brezno, SK. City ID: 3060950
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=brezno,sk

Location: Tommot, RU. City ID: 2015179
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=tommot,ru

Location: Trinidad, BO. City ID: 3902377
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=trinidad,bo

Location: Ancud, CL. City ID: 3899695
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=ancud,cl

Location: Lompoc, US. City ID: 5367788
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=lompoc,us

Location: Keti Bandar, PK. City ID: 1174451
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=keti+bandar,pk

Location: Sitka, US. City ID: 4267710
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=sitka,us

Location: Kulhudhuffushi, MV. City ID: 1337613
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=kulhudhuffushi,mv

Location: Jamestown, SH. City ID: 3370903
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=jamestown,sh

Location: Ostrovnoy, RU. City ID: 556268
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=ostrovnoy,ru

Location: Georgetown, SH. City ID: 2411397
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=georgetown,sh

Location: Gubkinskiy, RU. City ID: 1539209
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=gubkinskiy,ru

Location: Chicama, PE. City ID: 3698359
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=chicama,pe

Location: Boissevain, CA. City ID: 5905191
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=boissevain,ca

Location: Tuktoyaktuk, CA. City ID: 6170031
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=tuktoyaktuk,ca

Location: College, US. City ID: 5859699
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=college,us

Location: codrington, ag has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=codrington,ag

Location: Faanui, PF. City ID: 4034551
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=faanui,pf

Location: Vardo, NO. City ID: 777019
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=vardo,no

Location: Opuwo, NA. City ID: 3354077
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=opuwo,na

Location: Cotonou, BJ. City ID: 2394819
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=cotonou,bj

Location: Itororo, BR. City ID: 3460542
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=itororo,br

Location: illoqqortoormiut, gl has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=illoqqortoormiut,gl

Location: Anadyr, RU. City ID: 2127202
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=anadyr,ru

Location: Zhicheng, CN. City ID: 1805012
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=zhicheng,cn

Location: tumannyy, ru has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=tumannyy,ru

Location: Coquimbo, CL. City ID: 3893629
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=coquimbo,cl

Location: North Bend, US. City ID: 5742974
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=north+bend,us

Location: Jabinyanah, TN. City ID: 2470260
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=jabinyanah,tn

Location: tuggurt, dz has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=tuggurt,dz

Location: Lukovetskiy, RU. City ID: 533418
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=lukovetskiy,ru

Location: Ambilobe, MG. City ID: 1082243
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=ambilobe,mg

Location: gat, ly has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=gat,ly

Location: Makakilo City, US. City ID: 5850554
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=makakilo+city,us

Location: Takoradi, GH. City ID: 2294915
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=takoradi,gh

Location: Indian Head, CA. City ID: 5982839
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=indian+head,ca

Location: Pisco, PE. City ID: 3932145
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=pisco,pe

Location: Datong, CN. City ID: 2037799
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=datong,cn

Location: Kapaa, US. City ID: 5848280
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=kapaa,us

Location: Sao Jose da Coroa Grande, BR. City ID: 3388456
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=sao+jose+da+coroa+grande,br

Location: Geraldton, AU. City ID: 2070998
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=geraldton,au

Location: Kautokeino, NO. City ID: 779330
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=kautokeino,no

Location: Atambua, ID. City ID: 1651103
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=atambua,id

Location: Taupo, NZ. City ID: 2181742
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=taupo,nz

Location: Arraial do Cabo, BR. City ID: 3471451
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=arraial+do+cabo,br

Location: Camopi, GF. City ID: 3382226
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=camopi,gf

Location: Ahipara, NZ. City ID: 2194098
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=ahipara,nz

Location: Dali, CN. City ID: 1814093
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=dali,cn

Location: amderma, ru has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=amderma,ru

Location: Cordoba, AR. City ID: 3846616
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=cordoba,ar

Location: Lebu, CL. City ID: 3883457
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=lebu,cl

Location: Hecun, CN. City ID: 1808749
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=hecun,cn

Location: Kota Kinabalu, MY. City ID: 1733432
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=kota+kinabalu,my

Location: Turukhansk, RU. City ID: 1488903
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=turukhansk,ru

Location: zhitikara, kz has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=zhitikara,kz

Location: nizhneyansk, ru has no weather data
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=nizhneyansk,ru

Location: Aleppo, SY. City ID: 170063
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=aleppo,sy

Location: Hilo, US. City ID: 5855927
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=hilo,us

Location: Matadi, CD. City ID: 2313002
http://api.openweathermap.org/data/2.5/weather?units=Imperial&APPID=8a3a0fd86ccd3117b69e5a75b54b43bf&q=matadi,cd

